Zipcode,company_count,percentage
1560,974,0.08
9660,968,0.08
6800,967,0.08
8890,965,0.08
7800,956,0.08
5170,954,0.08
3110,951,0.08
3660,944,0.08
2280,941,0.08
6220,941,0.08
9111,938,0.08
1620,934,0.08
4030,932,0.08
8880,932,0.08
5190,931,0.08
4920,926,0.08
9310,920,0.08
1360,919,0.08
1820,911,0.08
1490,904,0.08
1861,899,0.08
2350,899,0.08
9770,895,0.08
3640,890,0.08
3730,888,0.08
5660,885,0.08
6060,884,0.08
1755,878,0.08
3945,878,0.08
3580,874,0.08
3545,866,0.08
4900,860,0.07
7080,856,0.07
2330,849,0.07
3390,840,0.07
4031,840,0.07
5580,832,0.07
1770,831,0.07
8434,831,0.07
2450,830,0.07
4052,829,0.07
9260,829,0.07
5500,828,0.07
1980,825,0.07
4520,824,0.07
9790,824,0.07
3012,821,0.07
3040,817,0.07
1340,816,0.07
7134,814,0.07
2222,813,0.07
2480,808,0.07
4430,795,0.07
2150,792,0.07
8720,790,0.07
8740,790,0.07
4780,784,0.07
9520,783,0.07
3970,779,0.07
4845,779,0.07
8850,777,0.07
8680,775,0.07
3120,774,0.07
2620,768,0.07
2547,765,0.07
1457,764,0.07
2270,762,0.07
8810,748,0.06
8460,746,0.06
6180,745,0.06
9920,736,0.06
4890,734,0.06
4650,731,0.06
1301,730,0.06
4420,727,0.06
2845,725,0.06
4671,724,0.06
2627,720,0.06
4432,720,0.06
8780,713,0.06
9308,713,0.06
5380,711,0.06
1320,704,0.06
1760,699,0.06
3220,697,0.06
9991,694,0.06
2430,691,0.06
4630,691,0.06
1880,689,0.06
3370,688,0.06
8650,685,0.06
5640,683,0.06
1830,680,0.06
4950,678,0.06
9910,678,0.06
9130,677,0.06
6032,675,0.06
3130,669,0.06
7181,669,0.06
4651,667,0.06
3690,666,0.06
6061,663,0.06
4340,662,0.06
7130,660,0.06
1430,659,0.06
9831,659,0.06
3440,658,0.06
5101,655,0.06
2890,653,0.06
9930,653,0.06
6230,649,0.06
1460,644,0.06
9470,643,0.06
1933,642,0.06
3510,637,0.06
5070,634,0.05
7050,634,0.05
5150,633,0.05
9060,632,0.05
1450,631,0.05
7390,623,0.05
3400,621,0.05
6110,621,0.05
75008,617,0.05
9750,615,0.05
3191,612,0.05
4970,612,0.05
3070,608,0.05
3665,607,0.05
5140,606,0.05
5530,606,0.05
3271,605,0.05
2040,604,0.05
4530,604,0.05
4540,603,0.05
3201,602,0.05
2290,601,0.05
7160,601,0.05
1350,594,0.05
5620,594,0.05
8755,594,0.05
3850,592,0.05
7370,588,0.05
7070,587,0.05
8920,586,0.05
9690,586,0.05
9630,584,0.05
8860,582,0.05
5340,580,0.05
8531,579,0.05
2321,576,0.05
5651,575,0.05
1315,574,0.05
1570,572,0.05
6880,572,0.05
1982,569,0.05
9950,569,0.05
3581,567,0.05
5600,562,0.05
7830,560,0.05
8791,560,0.05
8792,559,0.05
3270,558,0.05
4690,551,0.05
6030,551,0.05
6940,551,0.05
7711,550,0.05
2811,549,0.05
3190,549,0.05
4870,549,0.05
2861,548,0.05
6840,546,0.05
1601,542,0.05
4550,542,0.05
4041,537,0.05
4802,532,0.05
7730,530,0.05
1703,525,0.05
2381,525,0.05
7340,524,0.05
7540,523,0.05
8580,523,0.05
3078,522,0.05
1653,521,0.05
3460,521,0.05
5650,520,0.05
3320,518,0.04
3830,516,0.04
5032,516,0.04
7190,516,0.04
4840,515,0.04
6150,515,0.04
4141,513,0.04
2221,509,0.04
4101,507,0.04
2380,506,0.04
6210,505,0.04
3350,504,0.04
1367,502,0.04
3870,495,0.04
4880,495,0.04
7522,491,0.04
1742,489,0.04
4610,488,0.04
1652,486,0.04
1650,484,0.04
7911,477,0.04
7011,475,0.04
7012,474,0.04
9960,472,0.04
6760,471,0.04
3060,465,0.04
4680,465,0.04
6250,463,0.04
9185,462,0.04
3071,461,0.04
1341,458,0.04
1630,458,0.04
xxxx,458,0.04
9180,457,0.04
8793,456,0.04
5330,454,0.04
6530,452,0.04
7180,452,0.04
1421,451,0.04
7520,449,0.04
9112,448,0.04
4121,445,0.04
5537,442,0.04
7140,441,0.04
4860,440,0.04
1428,437,0.04
3128,436,0.04
4032,435,0.04
9506,434,0.04
1540,432,0.04
7900,432,0.04
4470,431,0.04
7022,426,0.04
1851,422,0.04
3890,422,0.04
7120,419,0.04
9968,419,0.04
5004,417,0.04
5002,416,0.04
5570,416,0.04
6010,415,0.04
6690,415,0.04
6140,413,0.04
7600,412,0.04
1501,406,0.04
2223,405,0.04
5080,403,0.03
2322,398,0.03
2812,397,0.03
1502,393,0.03
5377,391,0.03
6560,390,0.03
8211,388,0.03
1701,386,0.03
2431,386,0.03
1342,382,0.03
6043,381,0.03
7780,381,0.03
3621,379,0.03
2382,377,0.03
4537,375,0.03
4770,374,0.03
